type,filename,id_or_uid,material_id,sheet_index
piece,piece-SD-001#01.svg,SD-001#01,mat.melamina.mdf18_mr,1
piece,piece-SD-001#02.svg,SD-001#02,mat.melamina.mdf18_mr,1
piece,piece-SD-001#03.svg,SD-001#03,mat.melamina.mdf18_mr,1
piece,piece-SD-001#04.svg,SD-001#04,mat.melamina.mdf18_mr,1
piece,piece-DR-001#01.svg,DR-001#01,mat.melamina.mdf18_mr,1
piece,piece-DR-001#02.svg,DR-001#02,mat.melamina.mdf18_mr,1
piece,piece-DR-001#03.svg,DR-001#03,mat.melamina.mdf18_mr,1
piece,piece-DR-001#04.svg,DR-001#04,mat.melamina.mdf18_mr,1
piece,piece-DF-001#01.svg,DF-001#01,mat.melamina.mdf18_mr,1
piece,piece-DF-001#02.svg,DF-001#02,mat.melamina.mdf18_mr,1
piece,piece-RL-001#01.svg,RL-001#01,mat.melamina.mdf18_mr,1
piece,piece-RL-001#02.svg,RL-001#02,mat.melamina.mdf18_mr,1
piece,piece-DR-001#05.svg,DR-001#05,mat.melamina.mdf18_mr,2
piece,piece-DR-001#06.svg,DR-001#06,mat.melamina.mdf18_mr,2
piece,piece-DR-001#07.svg,DR-001#07,mat.melamina.mdf18_mr,2
piece,piece-DR-001#08.svg,DR-001#08,mat.melamina.mdf18_mr,2
piece,piece-SH-001#01.svg,SH-001#01,mat.melamina.mdf18_mr,2
piece,piece-SH-001#02.svg,SH-001#02,mat.melamina.mdf18_mr,2
piece,piece-SH-001#03.svg,SH-001#03,mat.melamina.mdf18_mr,2
piece,piece-SH-001#04.svg,SH-001#04,mat.melamina.mdf18_mr,2
piece,piece-SH-001#05.svg,SH-001#05,mat.melamina.mdf18_mr,2
piece,piece-DF-001#03.svg,DF-001#03,mat.melamina.mdf18_mr,2
piece,piece-DF-001#04.svg,DF-001#04,mat.melamina.mdf18_mr,2
piece,piece-SH-001#06.svg,SH-001#06,mat.melamina.mdf18_mr,3
piece,piece-SH-001#07.svg,SH-001#07,mat.melamina.mdf18_mr,3
piece,piece-SH-001#08.svg,SH-001#08,mat.melamina.mdf18_mr,3
piece,piece-SH-001#09.svg,SH-001#09,mat.melamina.mdf18_mr,3
piece,piece-SH-001#10.svg,SH-001#10,mat.melamina.mdf18_mr,3
piece,piece-DF-001#05.svg,DF-001#05,mat.melamina.mdf18_mr,3
piece,piece-DF-001#06.svg,DF-001#06,mat.melamina.mdf18_mr,3
piece,piece-RL-001#03.svg,RL-001#03,mat.melamina.mdf18_mr,3
piece,piece-RL-001#04.svg,RL-001#04,mat.melamina.mdf18_mr,3
sheet,sheet-mat.melamina.mdf18_mr-1.svg,sheet-1,mat.melamina.mdf18_mr,1
sheet,sheet-mat.melamina.mdf18_mr-2.svg,sheet-2,mat.melamina.mdf18_mr,2
sheet,sheet-mat.melamina.mdf18_mr-3.svg,sheet-3,mat.melamina.mdf18_mr,3
